Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
都市国家は国家の前身です。文明文化とは、数世代にわたる知識の継承、文化的足跡の存続、公正な普及を意味します。,城邦是民族的前身。文明型文化意味着知识的代代相传，文化的足迹萦绕留存，还有文化能够公平地传播。,"The urban state is a predecessor of the state. Civilization and culture refer to the transmission of knowledge over several generations, the preservation of cultural heritage, and fair dissemination.",0.2927
主流からはずれた文化は、正式な文明として認識されないまま消滅することが多く、そうすると歴史的証拠は残りません。,少数民族文化常常没有留下相关的历史证据就消失无踪，而且不被当做是像样的文明。,"Cultures that deviate from the mainstream often vanish without being recognized as formal civilizations, and in such cases, no historical evidence remains.",0.2541
独立戦争中に13州はまず連合規約に基づいて弱い中央政府を形成し、連邦議会はその唯一の構成要素でした。,在独立战争期间，十三个州最初根据《联邦条例》组成了弱小的中央政府（国会是其唯一的组成部分）。,"During the War of Independence, 13 states first formed a weak central government based on the Union Constitution, and the Federal Congress was its only constituent body.",0.296
議会には課税する権限がなく、国の執行機関や司法機関がなかったため、議会のすべての行為を州当局に頼っていましたが、州当局はしばしば非協力的でした。,国会没有征税的权力，而且因为没有国家行政部门或司法部门，国会只能依赖州政府执行所有法案，而州政府又经常不配合。,"The parliament had no authority to tax, and since there were no state executive or judicial bodies, all actions of the parliament relied on state authorities, but these state authorities were often uncooperative.",0.3077
州間の税法や関税を無効にする権限もありませんでした。,它也没有权力推翻各州之间的税法和关税。,There was also no authority to invalidate interstate tax laws and tariffs.,0.2155
条項の改正には、全州から全会一致の同意が必要でしたが、各州は中央政府を軽視していたので、代表者が欠席することもしばしばでした。,这些条款必须得到所有州的一致同意才能进行修改，而各州对待中央政府的态度十分轻慢，以至于其州立代表经常缺席。,"For the amendment of the clause, unanimous consent from all states was required, but since each state undervalued the central government, representatives often failed to attend.",0.2818
サッカーのイタリア代表は、ドイツ代表と並んで世界で2番目に成績の良いチームで、2006年にはFIFAワールドカップで優勝しています。,意大利国家足球队和德国国家足球队都是世界上第二成功的球队，在 2006 年拿下了足球世界杯冠军。,"The Italy national football team is one of the two best-performing teams in the world, alongside the Germany team. In 2006, it won the FIFA World Cup.",0.3031
人気のスポーツは、サッカー、バスケットボール、バレーボール、水球、フェンシング、ラグビー、サイクリング、アイスホッケー、ローラーホッケー、F1モーターレースなどです。,流行的运动项目包括足球、篮球、排球、水球、击剑、橄榄球、自行车、冰球、轮滑曲棍球和一级方程式赛车。,"Popular sports include soccer, basketball, volleyball, water polo, fencing, rugby, cycling, ice hockey, roller hockey, and F1 motor racing.",0.2777
北部地域ではウィンタースポーツが盛んで、国際試合やオリンピックに出場するイタリア人選手を輩出しています。,冬季运动在北部地区最受欢迎，意大利人会在那里参加国际比赛和奥运会比赛。,"In the northern region, winter sports are popular, and it produces Italian athletes who compete in international competitions and the Olympics.",0.2599
"日本には約7,000の島々があり、その最大は本州列島で、世界で7番目に大きい島とされています。",日本拥有近 7000 个岛屿（最大的是本州岛），这让日本成为了世界第七大岛国！,"Japan has about 7,000 islands, and the largest one is the Honshu Archipelago, which is considered the 7th largest island in the world.",0.2945
日本は島々の集まりなので、地理的によく「群島」と呼ばれます。,由于日本的岛屿群众多，日本从地质学角度上常被称为“列岛”,"Japan is a collection of islands, so it is often referred to as “archipelago” in terms of geography.",0.2602
台湾の始まりは15世紀にヨーロッパの船乗りたちがこの島の名前を「イルハ・フォルモサ」（美しい島）と呼んだことから始まりました。,西方对台湾的了解可以追溯到 15 世纪。当时路过的欧洲水手将该岛命名为“福尔摩沙岛”(Ilha Formosa)，意思是美丽的岛屿。,The beginning of Taiwan dates back to the 15th century when European sailors called the island “Ilha Formosa” (beautiful island).,0.2715
1624年、オランダの東インド会社が台湾南西部に拠点を置き、原住民の穀物生産方法を変革し、中国人労働者を雇って米や砂糖のプランテーションに従事させました。,1624 年，荷兰东印度公司在台湾地区西南部建立基地，开始改变原住民的粮食生产方式，并雇佣华工在其水稻和蔗糖种植园工作。,"In 1624, the Dutch East India Company established a base in the southwestern part of Taiwan. It changed the indigenous people’s methods of grain production and hired Chinese laborers to work in rice and sugar plantations.",0.3194
1683年に清朝（1644～1912年）軍が台湾西部および北部の沿岸部を占領し、1885年に台湾を清国の省とすることを宣言しました。,1683 年，清朝（1644年 - 1912年）军队控制了台湾西部和北部沿海地区，1885 年，大清帝国宣布在台湾建省。,"In 1683, the Qing Dynasty (1644–1912) forces occupied the western and northern coastal areas of Taiwan, and in 1885, it declared Taiwan a province of the Qing Empire.",0.3161
1895年、第一次日清戦争（1894年～1895年）の敗戦後、清国政府は下関条約に調印し、台湾の主権を日本に譲りました。,1895 年，在甲午战争 (1894-1895 年) 中战败后，清政府签署了《马关条约》，将台湾的主权割让给日本，日本统治台湾直至 1945 年。,"In 1895, after losing the First Sino-Japanese War (1894–1895), the Qing government signed the Shimonoseki Treaty and ceded Taiwan’s sovereignty to Japan.",0.3069
マチュピチュは、日時計（インティワタナ）、太陽の神殿（大塔）、そして3つの窓の神殿という主な3つの建造物で構成されます。,马丘比丘古城由三座主要建筑物组成，分别是拴日石 (Intihuatana)、太阳神庙和三窗之屋。,"Machu Picchu consists of three main structures: the Timekeeper (Inti Watan), the Temple of the Sun (Great Pyramid), and the Temple of the Three Windows.",0.305
複合施設の端にある建築物のほとんどは、観光客に従来の姿をもっと知ってもらえるように再建されたものです。,为了让游客更好地了解建筑群的原貌，该建筑群边缘的大部分建筑都经过重建。,Most of the buildings located at the edge of the complex facility were rebuilt in order to help tourists better understand its traditional appearance.,0.2582
マチュピチュは1976年の時点で30%まで修復され、現在も引き続き修復されています。,到 1976 年，马丘比丘的百分之三十得到修复，修复工作一直持续到今天。,"Machu Picchu has been restored by 30% by 1976, and continues to be restored today.",0.2553
例えば、世界で最も普及している静止画写真のフィルム形式は35 mmで、これはアナログフィルム時代の終わり頃には主流のフィルムサイズでした。,例如，世界上最常见的静态图像摄影格式是 35mm 格式，这是胶片电影时代末期占主导地位的电影尺寸。,"For example, the film format for still photographs that is most widely used in the world is 35 mm; this was the mainstream film size at the end of the analog film era.",0.303
現在も生産されていますが、それ以上に重要なのは、そのアスペクト比がデジタルカメラのイメージセンサーのフォーマットを継承していることです。,时至今日仍有生产，但更重要的是它的长宽比应用到了数码相机图像传感器的格式上。,"It is still produced today, but what’s even more important is that its aspect ratio inherits the format of digital camera image sensors.",0.2693
紛らわしいのですが、35 mm判は実際には幅36 mm、高さ24 mmというサイズです。,35 毫米格式的实际尺寸是 36 毫米宽，24 毫米高，这样格式其实有点令人困惑。,"It’s confusing, but the 35 mm format actually has a size of 36 mm in width and 24 mm in height.",0.2718
そのため、この形式のアスペクト比（12で割って最も単純な全数比を求める）は3:2と言われています。,因此，这种格式的宽高比（除以 12 得到最简单的整数比）便是 3:2。,"Therefore, the aspect ratio of this format (by dividing by 12 to obtain the simplest whole number ratio) is said to be 3:2.",0.3688
一般的な記録形式（例えば、APS系の記録形式）の多くは、このアスペクト比と同等かそれに近いものです。,许多常见格式（例如 APS 格式系列）都与这个长宽比相同或相当接近。,"Most conventional recording formats (e.g., APS-based formats) are equivalent to or close to this aspect ratio.",0.2629
「三分割法」 は、軽視する人もいるようですが、映像の秩序を保ちながらダイナミズムを生み出すシンプルな目安です。,经常被滥用和嘲笑的三分法，在创造动态时不失为一种简单的指导方法，还能让图像保持有序。,"“Three-part method” may be underestimated by some, but it is a simple guideline for maintaining order in footage while creating dynamism.",0.2732
主な被写体を配置すべき最も効果的な位置は、画像を縦横3分の1ずつに分割した線の交点に囲まれた部分（例を参照）とされます。,它指出，对主体来说最有效的位置是将图像垂直和水平分为三部分的线的交叉点（见示例）。,The most effective position to place the main subjects is the area surrounded by the intersection points of the lines that divide the image into three equal parts vertically and horizontally (see example).,0.2968
ヨーロッパ史において経済的に豊かで強大な力を持つようになったカトリック教会に、この時代には厳しい目が向けられるようになっていました。,在欧洲历史上的这段时期，已然富有而强大起来的天主教会受到了密切监督。,"In European history, the Catholic Church, which became economically wealthy and powerful, faced strict scrutiny during this period.",0.2567
キリスト教は千年以上にわたって言語や習慣の違うヨーロッパの国々を結びつけてきました。,尽管欧洲各国语言和习俗各不相同，但一千多年来，基督教把它们联系在了一起。,Christianity has connected European countries with different languages and customs for over a thousand years.,0.2295
その普遍的な力は、王から平民に至るまで、すべての人に影響を与えていました。,从国王到平民，它遍布十方的力量影响着每一个人。,"That universal power affected everyone, from kings to commoners.",0.214
キリスト教の主な教義の1つは、富は苦しみや貧困を軽減する目的に使われるべきであり、教会の基金はそのための特別な存在であるということです。,基督教的主要信条之一是财富应该用来减轻痛苦和贫困，而教会的货币基金就是专门为此而设立的。,"One of the main doctrines of Christianity is that wealth should be used to reduce suffering and poverty, and that church funds are a special entity for this purpose.",0.274
教会の中央権力は千年以上も前からローマにあり、権力と資金が集中することで、多くの人がその教義が満たされているかどうかを疑問視するようになりました。,教会中央集权制在罗马存在了一千多年，这种权力和金钱的集中让许多人开始质疑，他们是否遵守了这一信条。,"The central power of the church has been in Rome for over a thousand years. As power and funds became concentrated, many people began to question whether its doctrines were truly fulfilled.",0.2911
敵対行為が始まってまもなく、イギリスはドイツに対する海上封鎖を開始しました。,敌对行动爆发后不久，英国开始对德国实施海上封锁。,"Short after hostile actions began, Britain initiated a naval blockade against Germany.",0.217
この戦略は効果的であり、重要な軍事物資や民間物資の供給を遮断したが、この封鎖は過去2世紀のいくつもの国際協定によって成文化され一般的に認められた国際法に違反していました。,他们切断了生死攸关的军事和民用物资供应。事实证明这一战略是有效的，尽管这样的封锁违反了在过去的两个世纪里，根据几项国际协定制定的已为大家普遍接受的国际法。,"This strategy was effective in cutting off the supply of important military and civilian supplies, but this blockade violated international law, which is generally recognized and established by several international agreements over the past two centuries.",0.3077
英国は、船舶が海洋全域に進入するのを防ぐために公海に機雷を仕掛け、中立船にまで危険をもたらしました。,英国在国际水域布雷，防止任何船只进入整片海域，甚至对中立国船只也构成威胁。,"Britain planted mines in the high seas to prevent ships from entering the entire ocean, posing a threat even to neutral vessels.",0.2645
この戦術に対する反応が限られていたため、ドイツはその無制限の水中戦にも同様の反応を想定していました。,因为对这一战略的响应有限，德国期望其无限制潜艇战也能有类似的响应。,"As the response to this tactic was limited, Germany expected a similar reaction to its unrestricted underwater warfare as well.",0.2585
1920年代に、市民や国家のほとんどに広まっていた思想は平和主義と孤立主義でした。,在 20 世纪 20 年代，大多市民的主流态度是和平主义的、分离主义的。,"In the 1920s, the ideologies that were widespread among citizens and most nations were pacifism and isolationism.",0.2643
第一次世界大戦中の戦争による悲惨さや残虐さを目の当たりにした各国は、将来、再びそのような状況に陥らないようにと願っていました。,目睹第一次世界大战中的肆虐残暴后，各国都渴望避免重蹈覆辙。,The nations that witnessed the suffering and brutality of World War I hoped that they would not fall back into such a situation in the future.,0.2665
1884年、テスラはニューヨークのエジソン社に就職するために渡米しました。,1884 年，特斯拉搬到了美国，接受了纽约市爱迪生公司的一份工作。,"In 1884, Tesla moved to the United States to work at Edison Company in New York.",0.2471
1冊の詩集とチャールズ・バチェラー（前職の親方）からトーマス・エジソンへの推薦状を携えて、ほとんど無一文で渡米しました。,他在抵达美国时，身上带着 4 美分、一本诗集，还有一封查尔斯•巴舍勒（Charles Batchelor）（他前份工作的经理）写给托马斯•爱迪生（Thomas Edison）的推荐信。,"With a collection of poems and a recommendation letter from Charles Chaplin (his former master) to Thomas Edison, I crossed the US with almost no money.",0.2818
古代中国には、時代差を示す独自の方法があり、中国史における各段階、または権力を握っていた一族が特徴的な王朝となりました。,中国古代的不同时期各有特点；中国的每个时期或每个执掌天下的家族都是一个特点鲜明的王朝。,"In ancient China, there were unique methods to indicate time periods; each stage in Chinese history or the clans that held power became distinctive dynasties.",0.2755
また、各王朝の間には、分断された地方の不安定な時代がありました。これらの時代のうち最もよく知られているのは、漢と晋の時代に挟まれ、60年間にわたって続いた三国時代です。,同样，历朝历代更迭期间都是一段小国分立的不稳定时代。其中最有名的便是长达 60 年的三国时期，该时期处于汉晋两代的更迭之间。,"Additionally, between various dynasties, there were unstable periods in divided regions. The most well-known of these periods is the Three Kingdoms period, which lasted for 60 years and occurred between the Han and Jin dynasties.",0.3351
こうした時代には、王位をめぐって多くの貴族たちが激しい戦いを繰り広げていました。,在这些动乱时期，各路诸侯为争夺王位而发生激烈战争。,"In such times, many nobles engaged in fierce battles over the throne.",0.2296
三国志は、古代中国の歴史の中で最も血なまぐさい時代の1つでした。西安の大宮殿の最高位を狙う争いの中で何千人もが戦士しました。,三国是中国古代历史上最血腥的时代之一。成千上万的人为了争夺西安豪华宫殿最高的权力而死去。,The Three Kingdoms era was one of the most bloody periods in ancient Chinese history. Thousands of people became warriors in the struggles for the highest positions in the grand palaces of Xi'an.,0.3074
メートル法の採用、絶対主義から共和主義への移行、愛国心、そして国は単独支配者ではなく国民のものであるという信念など、多くの社会的政治的影響がありました。,还有许多社会和政治影响，例如度量单位的使用、从专制到共和制的转变、民族主义、相信国家不属于唯一的统治者而是属于人民。,"The adoption of the metric system, the transition from absolutism to republicanism, patriotism, and the belief that a country belongs to the people rather than a single ruler—all had many social and political impacts.",0.3217
革命後は職業も公募制になって男性全員に応募資格があり、最も意欲があって勝ち抜いた者が職に就けるようになりました。,此外，在革命之后，官职面向全体男性开放申请，这使得最有抱负、最成功之人有机会飞黄腾达。,"After the revolution, the job system became open to all, and all men had the right to apply. Those with the greatest motivation would be selected for the position.",0.2889
軍隊でも同じことが言えます。なぜならば、軍隊の階級に基づいた階級ではなく、能力に基づいた階級になったからです。,军队亦然，因为军衔的高低不再基于等级，而是基于才干。,"The same can be said of the military. Because it is no longer based on rank, but on ability.",0.2478
フランス革命は、他国にいて抑圧されている多くの労働者階級に刺激を与え、各国で革命が始まりました。,法国大革命也鼓舞了许多其他国家被压迫的工人阶级，开始他们自己的革命。,"The French Revolution inspired many workers in other countries who were oppressed, leading to revolutions across various nations.",0.2382
ムハンマドは、日常生活を超えた問題に深い関心を持っていました。彼は、瞑想のために「ヌール」（光）の山にある「ヒーラ」と呼ばれる洞窟をよく訪れました。,穆罕默德对尘世生活之外的事十分感兴趣。他以前经常到“努尔”（光明）山上一个叫做”希拉“的山洞里去冥想。,Muhammad had a deep interest in issues beyond everyday life. He often visited the “Hira” cave located on the “Nur” mountain for meditation.,0.2868
時代を超えて残った洞窟は、ムハンマドの精神的な傾倒の様子を鮮明に映し出しています。,该洞穴本身，不仅经受住时间考验而保留下来，还为穆罕默德的灵性意向带来极其生动的形象。,The cave that has survived through the ages clearly reflects Muhammad’s spiritual devotion.,0.2382
洞窟はメッカの北にあたる山頂にあり、外界から完全に隔離されています。,该洞穴坐落在麦加 (Mecca) 北部的一座山顶上，与外界完全隔绝。,The cave is located on the mountain top north of Mecca and is completely isolated from the outside world.,0.251
実際には、洞窟の存在を知っていても見つけるのは容易ではありません。洞窟に入ると、そこは完全に隔離された空間です。,事实上，即使知道它的存在，也不容易找到。一旦进入洞穴，就完全与世隔绝了。,"In reality, even knowing about the cave’s existence, finding it is not easy. When you enter the cave, it is a completely isolated space.",0.2835
上空の澄んだ美しい空と、周囲の多くの山々以外には何も見えません。洞窟の中からは、外界はほとんど見えず、外界の音も聞こえません。,除了清澈美丽的天空和周围的群山，什么也看不见。在洞穴中，几乎看不到也听不到外界的景象和声音。,"The clear and beautiful sky above, along with many surrounding mountains, is all that can be seen. From inside the cave, the outside world is almost invisible, and no sounds from outside can be heard.",0.3168
ギザの大ピラミッドは、七不思議の中で唯一現存しているものです。,吉萨大金字塔是七大奇迹中唯一至今仍屹立不倒的建筑。,The Great Pyramid of Giza is the only one of the Seven Wonders that remains today.,0.2353
紀元前3世紀にエジプト人によって建設された大ピラミッドは、死んだファラオを祀るために建てられた数多くの大ピラミッド建築物の1つです。,大金字塔是埃及人在公元前三世纪的杰作，它是众多向已故法老表示敬意的大型金字塔的其中之一。,"The Great Pyramid, built by the Egyptians in the 3rd century BC, is one of many large pyramid structures erected to honor deceased pharaohs.",0.2797
エジプトの死者の谷に広がるギザ高原（ギザの墓地遺跡）には、何基ものピラミッド（その最大がギザの大ピラミッド）、いくつもの小さい墓、神殿、そして偉大なスフィンクスがあります。,埃及死亡之谷的吉萨（Giza）高原（即“吉萨金字塔群”）包括多个金字塔（其中大金字塔是最大的）、几个小坟墓，几个寺庙和大狮身人面像。,"In the Giza Plateau (Giza Cemetery Ruins), which stretches across the Valley of the Dead in Egypt, there are numerous pyramids (the largest being the Great Pyramid of Giza), several smaller tombs, temples, and the magnificent Sphinx.",0.3525
大ピラミッドはファラオ・クフ王を称えて建てられた巨大な墓であり、その周囲にある小ピラミッド、墓、神殿の多くはクフ王の妻や家族を称えるものです。,大金字塔是为纪念胡夫法老而建造的，并为纪念胡夫的妻子和家庭成员建造了多座较小的金字塔、坟墓和庙宇。,"The Great Pyramid is a massive tomb built in honor of Pharaoh Khufu; the many smaller pyramids, tombs, and temples surrounding it are dedicated to Khufu’s wife and family.",0.3152
上げ弓のマークはV字のように見え、下げ弓のマークはホチキスの針または四角形の底辺が欠けたような形です。,“上弓”符号像字母 V，“下弓”符号像是钉书钉或是缺少了底边的正方形。,"The mark for an upward bow looks like a V shape, while the mark for a downward bow resembles a thread from Hohtiki’s needle or a quadrilateral with a missing base.",0.3113
アップとは先端から始めて弓を押すことであり、ダウンはフロッグ（手で弓を保持している場所）から始めて弓を引くことです。,向上指的是从顶端开始推弓，向下指的是从弓根处（也就是手握弓的地方）开始拉弓。,"Up means starting from the tip and pushing the bow, while Down means starting from the frog (the place where the hand holds the bow) and pulling the bow.",0.2899
上げ弓は通常やわらかい音を、下げ弓はより強く、主張のある音を生み出します。,上弓通常会发出更加柔和的声音，而下弓则会发出更强烈、更为坚定的声响。,"The raised bow typically produces a soft sound, while the lowered bow creates a louder and more distinct tone.",0.246
鉛筆で自由に符号を書き込めますが、印字された弓形の符合には音楽的な理由があることを覚えておきましょう。通常、その符号に従うべきです。,请随意用铅笔作上你自己的标记，但要记住，印出来的音符是具有音乐意义的，所以它们通常应该被尊重。,"You can write symbols freely with a pencil, but remember that the printed arc-shaped symbols have musical reasons behind them. Usually, you should follow those symbols.",0.2768
1789年10月6日、恐怖におびえた国王ルイ16世、王妃マリー・アントワネットと2人の幼い子供たち（11歳のマリー・テレーズと4歳のルイ＝シャルル）、そして国王の妹であるエリザベス王女は、暴徒と化した市場の女性たちによってヴェルサイユ宮殿からパリへと強制的に戻されました。,在 1789 年 10 月 6 日，受到惊吓的国王路易十六、王后玛丽·安托瓦内特和他们的两个孩子（11 岁的玛丽·特蕾莎和 4 岁的路易斯·查尔斯），以及国王的妹妹伊丽莎白夫人，被一群集市妇女从凡尔赛赶回了巴黎。,"On October 6, 1789, King Louis XVI, Queen Marie Antoinette, their two young children (11-year-old Marie Therese and 4-year-old Louis-Charles), and Princess Elizabeth, the king’s sister, were forcibly taken back from the Palace of Versailles to Paris by women who had turned into mobs.",0.4074
馬車に乗った彼らは、国王と王妃に向かって叫び、脅しの言葉を浴びせる暴徒に囲まれてパリに戻りました。,他们乘坐马车回到了巴黎，一群人包围了他们，大喊大叫地威胁国王和王后。,"They, riding in the carriage, returned to Paris surrounded by rioters who shouted at and threatened the king and queen.",0.2561
暴徒と化した群衆は、王と王妃に馬車の窓を無理やり開けさせました。,暴民强迫国王和王后把马车的窗户完全打开。,"The crowd, transformed into mobs, forced the king and queen to open the carriage window.",0.2344
あるとき、恐怖に怯える王妃の前で、暴徒の1人がヴェルサイユ宮殿で殺された王室の衛兵の首を振って見せた。,当着吓坏了的女王的面，有一名暴徒一度挥动一颗皇家卫士的头颅，这名卫士是在凡尔赛宫被杀害的。,"One time, before the queen who was terrified by fear, one of the rioters showed her the head of a royal guard who had been killed in the Palace of Versailles.",0.2983
アメリカ帝国主義による戦争でフィリピン征服にかかった費用をフィリピン人が負担したのです。,美帝国主义在征服菲律宾时的战争开支是由菲律宾人民自己支付的。,"Due to the war caused by American imperialism, the costs of conquering the Philippines were borne by the Filipinos.",0.337
彼らは、支出の大部分を賄うためにアメリカの植民地政権への納税を予後なくされ、ウォール街の銀行を通してフィリピン政府の名前で売りに出されていた債券の利子も払わざるを得ませんでした。,他们被迫向美国殖民政权纳税，用于支付大部分开支，以及通过华尔街银行以菲律宾政府名义发行的债券的利息。,"They were forced to pay taxes to the American colonial government in order to cover most of their expenses, and they also had to pay the interest on bonds sold under the name of the Philippine government through banks on Wall Street.",0.3255
もちろん、長期にわたるフィリピン人の搾取から得られる超過利潤は、米国帝国主義の基礎利益を成すものだったでしょう。,当然，长期剥削菲律宾人民所获得的高额利润成为美帝国主义的基本收益。,"Of course, the excess profits gained from the long-term exploitation by Filipinos would have formed the foundation for American imperialism.",0.2529
テンプル騎士団を理解するためには、その秩序が生まれた文脈を理解する必要があります。,要了解圣殿骑士，就必须了解促使圣殿骑士团成立的背景。,"To understand the Templar Knights, it is necessary to understand the context in which that order was created.",0.2504
この事件が起きた時代は中世盛期と呼ばれ、一般的にヨーロッパ史で11世紀、12世紀、13世紀（西暦1000年～1300年）の期間が相当します。,事件发生的时代通常被称为欧洲史的中世纪盛时，即的 11、12 和 13世纪时期（公元 1000-1300 年）。,"The era when this event occurred is called the High Middle Ages, which generally corresponds to the 11th, 12th, and 13th centuries (1000–1300 AD) in European history.",0.3214
中世盛期は歴史上の時代区分として中世前期と中世後期の間の時代とされ、中世後期は1500年までに終了したと考えるのが慣例である。,中世纪盛期之前是中世纪早期，之后是中世纪晚期，约定俗成认为中世纪晚期大约在 1500 年前后结束。,The Middle Ages' peak period is considered as the era between the Early Middle Ages and the Late Middle Ages in historical classification; it is customary to assume that the Late Middle Ages ended by 1500.,0.3277
技術決定論とは、技術推進や技術的規範から始まり、人間の運命は、科学的な法則と技術におけるその顕在化に関連した根底にある論理によって動かされているという厳密な意味まで、実際には幅広い考え方を包含する用語です。,技术决定论是一个在实践中涵盖许多种思想的术语，包括技术推动论，技术必要论，以及一个严格的定义——人类命运是由与科学定律相关的背后逻辑及其在技术中的表现驱动的。,"Technological determinism is a term that encompasses a wide range of perspectives—from technological advancement and technical norms, to the idea that human fate is determined by the logic underlying scientific laws and their manifestation in technology.",0.3226
技術決定論のほとんどの解釈は、2つの一般論を共有しています。1つは技術の発展自体が文化的・政治的な影響を大きく超えた道をたどっていること、もう1つは技術が社会的に条件づけられたものではなく、むしろ内在する社会に「影響」を与えることです。,大多数对技术决定论的解释都包括这两个总体思路：一是技术本身的发展在很大程度上超越了文化或政治影响，二是技术反过来会对社会产生不受社会条件制约的内在“影响”。,"Most interpretations of techno-determinism share two general theories. One is that the development of technology itself has followed a path that far exceeds cultural and political influences; the other is that technology is not socially conditioned, but rather “influences” an inherent society.",0.418
例えば、自動車は必然的に道路の発達につながると言えるかもしれません。,例如，有人可能会说，汽车必然会促进道路的发展。,"For example, it can be said that vehicles inevitably lead to the development of roads.",0.2352
しかし、ほんの一握りの車だけでは全国的な道路網の採算が合わないので、車の所有コストを下げるために新しい生産方法が開発さけています。,然而，仅为少数汽车架设全国公路网，这在经济上并不可行，因此新的生产方式应运而生，以求降低汽车的拥有成本。,"However, just a handful of vehicles are not sufficient to make the national road network profitable, so new production methods are being developed to reduce the cost of vehicle ownership.",0.3039
自動車の保有者増加は、道路事故発生率の増加につながり、結果として、負傷した身体を治療するための新技術が医療分野で開発されることになります。,大众汽车保有量较高还会导致更高的道路交通事故发生率，而这将推动发明用于修复伤者伤处的全新医疗技术。,"The increase in car ownership leads to a rise in road accident rates, which in turn results in the development of new technologies for treating injured bodies in the medical field.",0.2878
ロマン主義には、ゲーテ、フィヒテ、シュレーゲルらの作家たちが形成した文化決定論という大要素が存在したのです。,浪漫主义具有很强的文化决定论色彩。这源于歌德、费希特和施莱格尔等作家。,"In Romanticism, there was a major element known as cultural determinism, formed by writers such as Goethe, Feuerbach, and Schleiermacher.",0.2869
ロマン主義の文脈では、地理が個人を形成し、時間の経過とともにその地理に関わる風習や文化が生まれ、それは社会の場と調和し、勝手に押し付けられた法律よりも優れたものでした。,在浪漫主义的背景下，地理塑造了个体，随着时间的推移，与地理相关的习俗和文化出现了，这些习俗文化因为与社会所处的地方和谐相融，要比任意强加的法律好得多。,"In the context of Romanticism, geography shapes individuals, and over time, customs and cultures related to that geography emerge. These are in harmony with the social landscape, and they are superior to laws imposed arbitrarily.",0.3176
現代の世界でパリがファッションの中心地として知られているように、封建時代の欧州ではコンスタンチノープルがファッションの中心地として栄えていました。,正如巴黎被称为当代世界的时尚之都一样，君士坦丁堡被认为是欧洲封建时代的时尚之都。,"Just as Paris is known as the fashion hub in the modern world, Constantinople was the fashion center in feudal Europe.",0.2592
豪奢な衣装の中心地としての名声は、紀元400年頃から始まり、紀元1100年頃まで続きました。,它作为奢侈品中心的声誉始于公元 400 年左右，一直延续到公元 1100 年左右。,The fame as a center of luxurious attire began around 400 CE and continued until around 1100 CE.,0.256
12世紀には、主に十字軍の兵士たちが、ビザンチンの市場よりも価値の高いシルクや香辛料などの贈り物を持って戻ってきたことが原因で、その地位は低下しました。,它的地位在十二世纪下降，主要是因为十字军返回时带的礼物，如丝绸和香料等，比拜占庭市场提供的更有价值。,"In the 12th century, its status declined mainly because soldiers of the Crusades returned with gifts such as silk and spices that were more valuable than those from the Byzantine markets.",0.3056
ファッションの中心地としての称号がコンスタンチノープルからパリへ移ったのはこのときでした。,正是在这个时候，时尚之都的称号从君士坦丁堡转移到了巴黎。,It was at this time that the title of fashion hub shifted from Constantinople to Paris.,0.3409
ゴシック様式の最盛期は10～11世紀にかけてと14世紀でした。,哥特式风格在 10 - 11 世纪到 14 世纪达到顶峰。,The peak period of Gothic style was during the 10th–11th centuries and the 14th century.,0.2537
当初の装いは東方のビザンチン文化の影響を強く受けたものでした。,起初，裙装深受东方拜占庭文化的影响。,The original attire was strongly influenced by Byzantine culture from the East.,0.2251
しかし、通信経路が遅いため、西欧のスタイルは25～30年遅れている可能性があります。,然而，由于文化交流迟缓，西方的时尚可能落后 25 到 30 年。,"However, due to slow communication routes, the Western European style may be 25–30 years behind.",0.2476
中世の終焉に向かって、西ヨーロッパは独自の様式を開発し始めました。十字軍の結果として生じた当時としては最大の進歩の1つは、衣類を閉じるためにボタンを使用し始めたことです。,随着中世纪走向末期，西欧人民逐渐发展出自己的风格。当时最大的进步之一就是十字军东征后，人们开始用纽扣来系衣服。,"As the Middle Ages came to an end, Western Europe began developing its own unique style. One of the greatest advancements that occurred as a result of the Crusades was the use of buttons to fasten clothing.",0.3207
自給自足農業とは、農業従事者とその家族に必要な分の食料のみを生産する農業の形態です。,自给农业，是为了生产仅能满足农业者及其家人所需的食物而进行的农业活动。,Self-sufficiency farming is a form of agriculture where only the food needed by farmers and their families is produced.,0.2471
自給自足農業とは、生態系地域に自生している保存された種子を、輪作やその他の比較的単純な技術と組み合わせて収量の最大化を図るシンプルなシステムで、多くの場合は有機的な農業です。,自给农业是一种简单且通常是有机的系统，利用该生态区内保存的本地种子，与农作物轮作或其他相对简单的技术相结合，从而最大限度地提高产量。,"Self-sustaining agriculture refers to a simple system in which preserved seeds native to the ecosystem area are combined with crop rotation and other relatively simple techniques to maximize yields; in many cases, it is organic farming.",0.3157
歴史的には農家の大半が自給自足農業を営んでおり、発展途上国の多くでは今もその傾向が見られます。,从历史上看，大部分农民从事的都是自给自足的农业生产。如今在很多发展中国家，情况依然如此。,"Historically, most farmers practiced self-sufficiency farming, and this trend is still observed in many developing countries today.",0.2494
