Model Name,hy-mt2-1.8b
IP Address/Port,74.2.96.26:32232
Parameters,"temperature=0.7,top_p=0.6,top_k=20,max_tokens=4096,repetition_penalty=1.05"

Input,Expected Output,Actual Output,Time Taken (s)
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1963
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1986
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2072
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.1995
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.197
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.2019
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2123
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2135
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2132
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1986
她喜欢读书。,She likes reading books.,She likes reading books.,0.1923
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.2091
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2088
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.191
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1953
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.213
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.1981
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1864
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.2004
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1947
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.198
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1994
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2036
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1961
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2166
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2002
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2439
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1978
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.2094
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2096
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1972
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2022
他要去市场。,He is going to the market.,He is going to the market.,0.2195
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1986
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.2585
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2045
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2112
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2067
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2112
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2227
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1902
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2124
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.2125
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1879
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1974
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2013
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2201
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2796
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2134
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2018
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.203
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2316
他要去市场。,He is going to the market.,He is going to the market.,0.2016
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.205
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2003
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1906
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.197
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2098
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.1935
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.2142
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1994
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.217
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.1975
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1948
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2106
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.1984
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2024
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.21
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2024
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1888
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.1972
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1888
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.211
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2394
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1903
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2182
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2061
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2104
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1898
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2159
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1933
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.2042
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2195
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1943
她喜欢读书。,She likes reading books.,She likes reading books.,0.2091
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2037
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1925
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1879
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1987
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2108
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1964
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2009
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1998
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2063
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.197
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1973
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2012
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1937
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.2052
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.2034
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1964
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2034
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1923
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2035
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1957
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.202
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1977
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2166
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.1974
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2001
他要去市场。,He is going to the market.,He is going to the market.,0.1944
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.2083
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2073
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1975
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1979
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1957
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2119
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1894
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.2055
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.2008
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2041
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2013
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.196
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2729
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1959
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1969
他要去市场。,He is going to the market.,He is going to the market.,0.2101
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1914
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.2125
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2033
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1935
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.1944
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2018
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.205
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2021
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.2058
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1973
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1896
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1985
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2064
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.1992
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2175
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2025
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.2042
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1966
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2085
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.1999
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.1965
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2108
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2056
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1911
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2024
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2036
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2004
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2175
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1975
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.2023
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2231
她喜欢读书。,She likes reading books.,She likes reading books.,0.2098
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1901
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2078
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2023
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1921
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1898
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1924
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1958
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2129
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1941
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2035
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1866
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.1981
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1865
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1934
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.2116
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.1973
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2055
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1945
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.1996
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2013
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2049
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1924
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1983
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.2029
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.1992
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2001
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2023
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2082
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2016
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1995
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2353
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.209
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.1993
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2095
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2076
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1925
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2014
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2289
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2066
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.1982
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2009
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.202
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1861
他要去市场。,He is going to the market.,He is going to the market.,0.2131
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1896
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1878
她正在为我们做饭。,She is cooking for us.,She is cooking for us.,0.1978
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2058
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1974
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.1943
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1862
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2001
他要去市场。,He is going to the market.,He is going to the market.,0.2125
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1888
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.2027
他要去市场。,He is going to the market.,He is going to the market.,0.2096
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2093
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2057
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.2025
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2283
他要去市场。,He is going to the market.,He is going to the market.,0.1997
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.2013
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.201
他要去市场。,He is going to the market.,He is going to the market.,0.2022
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2102
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.2006
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2021
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.1994
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2046
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1954
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1995
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.191
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.2038
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2064
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2204
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.1998
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1941
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1983
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.196
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1937
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.2116
公司推出了最新的手机。,The company launched the latest smartphone.,The company has launched the latest smartphone.,0.2001
警察调查了一起案件。,The police investigated a case.,The police investigated a case.,0.1895
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1927
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1911
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1928
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2013
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.1996
生物学家发现了一种新物种。,Biologists discovered a new species.,Biologists have discovered a new species.,0.2067
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.2024
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1945
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.2193
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2083
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.2246
他要去市场。,He is going to the market.,He is going to the market.,0.2038
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2066
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.2
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1942
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2039
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.198
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2096
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1997
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.2002
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2015
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1852
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.2015
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.189
人们喜欢在假期旅行。,People like to travel during holidays.,People like to travel during holidays.,0.1945
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2048
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.2169
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1874
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.1887
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.2238
环境保护对未来非常重要。,Environmental protection is very important for the future.,Environmental protection is very important for the future.,0.2061
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.1925
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.2713
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.1909
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2025
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes listening to music in his free time.,0.212
今天天气很好。,The weather is nice today.,The weather is very good today.,0.2151
护士照顾了病人。,The nurse took care of the patient.,The nurse took care of the patient.,0.1944
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1914
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1928
医生开了新的药。,The doctor prescribed a new medicine.,The doctor prescribed new medicine.,0.1945
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1951
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.1952
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1952
今天天气很好。,The weather is nice today.,The weather is very good today.,0.196
国家促进可持续发展。,The country promotes sustainable development.,The state promotes sustainable development.,0.2052
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.2014
今天天气很好。,The weather is nice today.,The weather is very good today.,0.1995
律师向法庭提交了文件。,The lawyer submitted the documents to the court.,The lawyer submitted documents to the court.,0.2004
他要去市场。,He is going to the market.,He is going to the market.,0.2001
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1932
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.2012
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2072
人工智能正在快速发展。,Artificial intelligence is developing rapidly.,Artificial intelligence is developing rapidly.,0.1935
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1904
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.1996
公司投资了新项目。,The company invested in a new project.,The company invested in a new project.,0.1906
老师解释了科学原理。,The teacher explained the scientific principle.,The teacher explained the scientific principles.,0.1941
技术正在改变世界。,Technology is changing the world.,Technology is changing the world.,0.1966
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1947
明天我们要去海滩。,Tomorrow we are going to the beach.,Tomorrow we are going to the beach.,0.2026
互联网连接了全球。,The internet connects the world.,The Internet connects the world.,0.1962
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.212
猫正在睡觉。,The cat is sleeping.,The cat is sleeping.,0.1964
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.2198
我最喜欢的颜色是蓝色。,My favorite color is blue.,My favorite color is blue.,0.197
他们在公园踢足球。,They are playing football in the park.,They are playing soccer in the park.,0.2044
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2176
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2164
公司投资了新项目。,The company invested in a new project.,The company invested in new projects.,0.1991
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2014
顾客对产品非常满意。,Customers are very satisfied with the product.,The customers are very satisfied with the product.,0.2248
医院提供了免费的疫苗。,The hospital provided free vaccines.,The hospital provides free vaccines.,0.1932
政府颁布了新的政策。,The government issued a new policy.,The government has introduced new policies.,0.1965
气候变化影响全球生态系统。,Climate change affects global ecosystems.,Climate change affects global ecosystems.,0.199
我今必须完成我的作业。,I must finish my homework today.,I must finish my homework now.,0.2017
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.2028
法官宣布了判决结果。,The judge announced the verdict.,The judge announced the verdict.,0.1964
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2915
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1959
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1962
市场竞争变得更加激烈。,Market competition has become more intense.,The market competition has become more intense.,0.2035
政府颁布了新的政策。,The government issued a new policy.,The government has issued new policies.,0.2036
科学为人类服务。,Science serves humanity.,Science serves humanity.,0.1862
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1964
他喜欢在空闲时间听音乐。,He likes listening to music in his free time.,He likes to listen to music in his free time.,0.2273
领导人发表了重要讲话。,The leader delivered an important speech.,The leader delivered an important speech.,0.1963
孩子们在公园里玩耍。,Children play in the park.,The children are playing in the park.,0.2022
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2235
天气预报说明天会下雨。,The weather forecast says it will rain tomorrow.,The weather forecast says it will rain tomorrow.,0.2096
学生学习了分子生物学。,The student studied molecular biology.,Students have studied molecular biology.,0.2017
研究人员开发了一种新药。,Researchers developed a new drug.,The researchers developed a new drug.,0.2038
减少污染可以改善空气质量。,Reducing pollution can improve air quality.,Reducing pollution can improve air quality.,0.195
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1971
物理学家研究能量的转换。,Physicists study the transformation of energy.,Physicists study energy conversion.,0.1906
学校鼓励创新和合作。,The school encourages innovation and collaboration.,The school encourages innovation and cooperation.,0.1953
